"rule_id","condition","approval_level","description"
"R001","price_delta_percent > 5","procurement_manager","漲價超過 5%，需採購經理核准。規則批次：1"
"R002","price_delta_percent > 10","procurement_director","漲價超過 10%，需採購主管核准。規則批次：1"
"R003","priority = high","production_director","高優先級客戶訂單需通知生產主管。規則批次：1"
"R004","days_remaining < 3","urgent_meeting","庫存低於 3 天需召開緊急會議。規則批次：1"
"R005","no_backup_vendor","supplier_negotiation","無替代供應商需啟動供應商協商。規則批次：1"
"R006","available_qty < required_qty","sales_notification","替代供應量不足需通知業務調整交期。規則批次：1"
"R007","delay_days > 7","senior_manager","供應商延遲超過 7 天需升級主管處理。規則批次：1"
"R008","delay_days > 14","executive_review","供應商延遲超過 14 天需高階主管審核。規則批次：1"
"R009","current_stock < safety_stock","inventory_controller","低於安全庫存需通知庫存管理人。規則批次：1"
"R010","customer_priority = strategic","account_manager","策略客戶受影響需通知客戶經理。規則批次：1"
"R011","price_delta_percent > 5","procurement_manager","漲價超過 5%，需採購經理核准。規則批次：2"
"R012","price_delta_percent > 10","procurement_director","漲價超過 10%，需採購主管核准。規則批次：2"
"R013","priority = high","production_director","高優先級客戶訂單需通知生產主管。規則批次：2"
"R014","days_remaining < 3","urgent_meeting","庫存低於 3 天需召開緊急會議。規則批次：2"
"R015","no_backup_vendor","supplier_negotiation","無替代供應商需啟動供應商協商。規則批次：2"
"R016","available_qty < required_qty","sales_notification","替代供應量不足需通知業務調整交期。規則批次：2"
"R017","delay_days > 7","senior_manager","供應商延遲超過 7 天需升級主管處理。規則批次：2"
"R018","delay_days > 14","executive_review","供應商延遲超過 14 天需高階主管審核。規則批次：2"
"R019","current_stock < safety_stock","inventory_controller","低於安全庫存需通知庫存管理人。規則批次：2"
"R020","customer_priority = strategic","account_manager","策略客戶受影響需通知客戶經理。規則批次：2"
"R021","price_delta_percent > 5","procurement_manager","漲價超過 5%，需採購經理核准。規則批次：3"
"R022","price_delta_percent > 10","procurement_director","漲價超過 10%，需採購主管核准。規則批次：3"
"R023","priority = high","production_director","高優先級客戶訂單需通知生產主管。規則批次：3"
"R024","days_remaining < 3","urgent_meeting","庫存低於 3 天需召開緊急會議。規則批次：3"
"R025","no_backup_vendor","supplier_negotiation","無替代供應商需啟動供應商協商。規則批次：3"
"R026","available_qty < required_qty","sales_notification","替代供應量不足需通知業務調整交期。規則批次：3"
"R027","delay_days > 7","senior_manager","供應商延遲超過 7 天需升級主管處理。規則批次：3"
"R028","delay_days > 14","executive_review","供應商延遲超過 14 天需高階主管審核。規則批次：3"
"R029","current_stock < safety_stock","inventory_controller","低於安全庫存需通知庫存管理人。規則批次：3"
"R030","customer_priority = strategic","account_manager","策略客戶受影響需通知客戶經理。規則批次：3"
"R031","price_delta_percent > 5","procurement_manager","漲價超過 5%，需採購經理核准。規則批次：4"
"R032","price_delta_percent > 10","procurement_director","漲價超過 10%，需採購主管核准。規則批次：4"
"R033","priority = high","production_director","高優先級客戶訂單需通知生產主管。規則批次：4"
"R034","days_remaining < 3","urgent_meeting","庫存低於 3 天需召開緊急會議。規則批次：4"
"R035","no_backup_vendor","supplier_negotiation","無替代供應商需啟動供應商協商。規則批次：4"
"R036","available_qty < required_qty","sales_notification","替代供應量不足需通知業務調整交期。規則批次：4"
"R037","delay_days > 7","senior_manager","供應商延遲超過 7 天需升級主管處理。規則批次：4"
"R038","delay_days > 14","executive_review","供應商延遲超過 14 天需高階主管審核。規則批次：4"
"R039","current_stock < safety_stock","inventory_controller","低於安全庫存需通知庫存管理人。規則批次：4"
"R040","customer_priority = strategic","account_manager","策略客戶受影響需通知客戶經理。規則批次：4"
"R041","price_delta_percent > 5","procurement_manager","漲價超過 5%，需採購經理核准。規則批次：5"
"R042","price_delta_percent > 10","procurement_director","漲價超過 10%，需採購主管核准。規則批次：5"
"R043","priority = high","production_director","高優先級客戶訂單需通知生產主管。規則批次：5"
"R044","days_remaining < 3","urgent_meeting","庫存低於 3 天需召開緊急會議。規則批次：5"
"R045","no_backup_vendor","supplier_negotiation","無替代供應商需啟動供應商協商。規則批次：5"
"R046","available_qty < required_qty","sales_notification","替代供應量不足需通知業務調整交期。規則批次：5"
"R047","delay_days > 7","senior_manager","供應商延遲超過 7 天需升級主管處理。規則批次：5"
"R048","delay_days > 14","executive_review","供應商延遲超過 14 天需高階主管審核。規則批次：5"
"R049","current_stock < safety_stock","inventory_controller","低於安全庫存需通知庫存管理人。規則批次：5"
"R050","customer_priority = strategic","account_manager","策略客戶受影響需通知客戶經理。規則批次：5"
