"vendor_name","material_code","lead_time_days","price_delta_percent","available_qty"
"CoreSupply","AB123","3","5","117"
"BoardKing","AB123","4","5","134"
"PowerLink","CD456","4","6","118"
"CoolWind","CD456","5","7","135"
"MegaParts","EF789","5","7","119"
"EastBridge Components","EF789","6","9","136"
"BoardKing","GH101","6","8","120"
"Union Semi","GH101","7","11","137"
"CoolWind","JK202","7","9","121"
"BrightSource","JK202","8","13","138"
"EastBridge Components","LM303","8","10","122"
"Speedy Materials","LM303","9","15","139"
"Union Semi","NP404","9","11","123"
"Global Parts Hub","NP404","10","17","140"
"BrightSource","QR505","10","12","124"
"ShinTech Supply","QR505","11","3","141"
"Speedy Materials","M001","11","13","125"
"Prime Circuit","M001","2","5","142"
"Global Parts Hub","M002","2","14","126"
"FutureLink","M002","3","7","143"
"ShinTech Supply","M003","3","15","127"
"Ace Components","M003","4","9","144"
"Prime Circuit","M004","4","16","128"
"Reliable Parts","M004","5","11","145"
"FutureLink","M005","5","17","129"
"Omega Supply","M005","6","13","146"
"Ace Components","M006","6","2","130"
"SmartCore","M006","7","15","147"
"Reliable Parts","M007","7","3","131"
"XYZ Electronics","M007","8","17","148"
"Omega Supply","M008","8","4","132"
"FastChip Ltd.","M008","9","3","149"
"SmartCore","M009","9","5","133"
"SafeParts Inc.","M009","10","5","150"
"XYZ Electronics","M010","10","6","134"
"CoreSupply","M010","11","7","151"
"FastChip Ltd.","M011","11","7","135"
"PowerLink","M011","2","9","152"
"SafeParts Inc.","M012","2","8","136"
"MegaParts","M012","3","11","153"
"CoreSupply","M013","3","9","137"
"BoardKing","M013","4","13","154"
"PowerLink","M014","4","10","138"
"CoolWind","M014","5","15","155"
"MegaParts","M015","5","11","139"
"EastBridge Components","M015","6","17","156"
"BoardKing","M016","6","12","140"
"Union Semi","M016","7","3","157"
"CoolWind","M017","7","13","141"
"BrightSource","M017","8","5","158"
"EastBridge Components","M018","8","14","142"
"Speedy Materials","M018","9","7","159"
"Union Semi","M019","9","15","143"
"Global Parts Hub","M019","10","9","160"
"BrightSource","M020","10","16","144"
"ShinTech Supply","M020","11","11","161"
"Speedy Materials","M021","11","17","145"
"Prime Circuit","M021","2","13","162"
"Global Parts Hub","M022","2","2","146"
"FutureLink","M022","3","15","163"
"ShinTech Supply","M023","3","3","147"
"Ace Components","M023","4","17","164"
"Prime Circuit","M024","4","4","148"
"Reliable Parts","M024","5","3","165"
"FutureLink","M025","5","5","149"
"Omega Supply","M025","6","5","166"
"Ace Components","M026","6","6","150"
"SmartCore","M026","7","7","167"
"Reliable Parts","M027","7","7","151"
"XYZ Electronics","M027","8","9","168"
"Omega Supply","M028","8","8","152"
"FastChip Ltd.","M028","9","11","169"
"SmartCore","M029","9","9","153"
"SafeParts Inc.","M029","10","13","170"
"XYZ Electronics","M030","10","10","154"
"CoreSupply","M030","11","15","171"
"FastChip Ltd.","M031","11","11","155"
"PowerLink","M031","2","17","172"
"SafeParts Inc.","M032","2","12","156"
"MegaParts","M032","3","3","173"
"CoreSupply","M033","3","13","157"
"BoardKing","M033","4","5","174"
"PowerLink","M034","4","14","158"
"CoolWind","M034","5","7","175"
"MegaParts","M035","5","15","159"
"EastBridge Components","M035","6","9","176"
"BoardKing","M036","6","16","160"
"Union Semi","M036","7","11","177"
"CoolWind","M037","7","17","161"
"BrightSource","M037","8","13","178"
"EastBridge Components","M038","8","2","162"
"Speedy Materials","M038","9","15","179"
"Union Semi","M039","9","3","163"
"Global Parts Hub","M039","10","17","180"
"BrightSource","M040","10","4","164"
"ShinTech Supply","M040","11","3","181"
"Speedy Materials","M041","11","5","165"
"Prime Circuit","M041","2","5","182"
"Global Parts Hub","M042","2","6","166"
"FutureLink","M042","3","7","183"
"ShinTech Supply","M043","3","7","167"
"Ace Components","M043","4","9","184"
"Prime Circuit","M044","4","8","168"
"Reliable Parts","M044","5","11","185"
"FutureLink","M045","5","9","169"
"Omega Supply","M045","6","13","186"
"Ace Components","M046","6","10","170"
"SmartCore","M046","7","15","187"
"Reliable Parts","M047","7","11","171"
"XYZ Electronics","M047","8","17","188"
"Omega Supply","M048","8","12","172"
"FastChip Ltd.","M048","9","3","189"
"SmartCore","M049","9","13","173"
"SafeParts Inc.","M049","10","5","190"
"XYZ Electronics","M050","10","14","174"
"CoreSupply","M050","11","7","191"
"FastChip Ltd.","M051","11","15","175"
"PowerLink","M051","2","9","192"
"SafeParts Inc.","M052","2","16","176"
"MegaParts","M052","3","11","193"
