"material_code","material_name","current_stock","safety_stock","daily_usage","","","","","","","","","","","","","","","","","","","","",""
"AB123","晶片A","20","80","20","","","","","","","","","","","","","","","","","","","","",""
"CD456","電容B","62","155","31","","","","","","","","","","","","","","","","","","","","",""
"EF789","感測器C","126","252","42","","","","","","","","","","","","","","","","","","","","",""
"GH101","控制模組D","212","371","53","","","","","","","","","","","","","","","","","","","","",""
"JK202","連接器E","320","256","64","","","","","","","","","","","","","","","","","","","","",""
"LM303","電源IC","450","375","75","","","","","","","","","","","","","","","","","","","","",""
"NP404","主機板模組","602","516","86","","","","","","","","","","","","","","","","","","","","",""
"QR505","散熱風扇","776","679","97","","","","","","","","","","","","","","","","","","","","",""
"M001","高速記憶體","972","432","108","","","","","","","","","","","","","","","","","","","","",""
"M002","工業電源模組","1190","595","119","","","","","","","","","","","","","","","","","","","","",""
"M003","藍牙通訊晶片","130","780","130","","","","","","","","","","","","","","","","","","","","",""
"M004","馬達控制板","282","987","141","","","","","","","","","","","","","","","","","","","","",""
"M005","影像感測器","66","88","22","","","","","","","","","","","","","","","","","","","","",""
"M006","USB控制器","132","165","33","","","","","","","","","","","","","","","","","","","","",""
"M007","鋁電解電容","220","264","44","","","","","","","","","","","","","","","","","","","","",""
"M008","高頻連接器","330","385","55","","","","","","","","","","","","","","","","","","","","",""
"M009","散熱片","462","264","66","","","","","","","","","","","","","","","","","","","","",""
"M010","微控制器","616","385","77","","","","","","","","","","","","","","","","","","","","",""
"M011","光學模組","792","528","88","","","","","","","","","","","","","","","","","","","","",""
"M012","觸控面板","990","693","99","","","","","","","","","","","","","","","","","","","","",""
"M013","電源轉換器","110","440","110","","","","","","","","","","","","","","","","","","","","",""
"M014","保護二極體","242","605","121","","","","","","","","","","","","","","","","","","","","",""
"M015","高壓繼電器","396","792","132","","","","","","","","","","","","","","","","","","","","",""
"M016","訊號放大器","572","1001","143","","","","","","","","","","","","","","","","","","","","",""
"M017","無線天線","120","96","24","","","","","","","","","","","","","","","","","","","","",""
"M018","工業線材","210","175","35","","","","","","","","","","","","","","","","","","","","",""
"M019","金屬外殼","322","276","46","","","","","","","","","","","","","","","","","","","","",""
"M020","PCB板","456","399","57","","","","","","","","","","","","","","","","","","","","",""
"M021","電池管理IC","612","272","68","","","","","","","","","","","","","","","","","","","","",""
"M022","溫度感測器","790","395","79","","","","","","","","","","","","","","","","","","","","",""
"M023","壓力感測器","90","540","90","","","","","","","","","","","","","","","","","","","","",""
"M024","電流感測器","202","707","101","","","","","","","","","","","","","","","","","","","","",""
"M025","保險絲","336","448","112","","","","","","","","","","","","","","","","","","","","",""
"M026","陶瓷電容","492","615","123","","","","","","","","","","","","","","","","","","","","",""
"M027","薄膜電容","670","804","134","","","","","","","","","","","","","","","","","","","","",""
"M028","電感線圈","870","1015","145","","","","","","","","","","","","","","","","","","","","",""
"M029","散熱膏","182","104","26","","","","","","","","","","","","","","","","","","","","",""
"M030","螺絲套件","296","185","37","","","","","","","","","","","","","","","","","","","","",""
"M031","包裝材料","432","288","48","","","","","","","","","","","","","","","","","","","","",""
"M032","防水膠圈","590","413","59","","","","","","","","","","","","","","","","","","","","",""
"M033","工業馬達","70","280","70","","","","","","","","","","","","","","","","","","","","",""
"M034","伺服驅動器","162","405","81","","","","","","","","","","","","","","","","","","","","",""
"M035","LCD模組","276","552","92","","","","","","","","","","","","","","","","","","","","",""
"M036","LED燈條","412","721","103","","","","","","","","","","","","","","","","","","","","",""
"M037","電源插座","570","456","114","","","","","","","","","","","","","","","","","","","","",""
"M038","網路模組","750","625","125","","","","","","","","","","","","","","","","","","","","",""
"M039","乙太網晶片","952","816","136","","","","","","","","","","","","","","","","","","","","",""
"M040","光纖接頭","1176","1029","147","","","","","","","","","","","","","","","","","","","","",""
"M041","電源線","252","112","28","","","","","","","","","","","","","","","","","","","","",""
"M042","遮蔽罩","390","195","39","","","","","","","","","","","","","","","","","","","","",""
"M043","開關模組","50","300","50","","","","","","","","","","","","","","","","","","","","",""
"M044","按鍵面板","122","427","61","","","","","","","","","","","","","","","","","","","","",""
"M045","工業相機","216","288","72","","","","","","","","","","","","","","","","","","","","",""
"M046","儲存模組","332","415","83","","","","","","","","","","","","","","","","","","","","",""
"M047","資料轉換器","470","564","94","","","","","","","","","","","","","","","","","","","","",""
"M048","測試治具","630","735","105","","","","","","","","","","","","","","","","","","","","",""
"M049","絕緣材料","812","464","116","","","","","","","","","","","","","","","","","","","","",""
"M050","防靜電袋","1016","635","127","","","","","","","","","","","","","","","","","","","","",""
"M051","導熱墊","1242","828","138","","","","","","","","","","","","","","","","","","","","",""
"M052","外部天線","1490","1043","149","","","","","","","","","","","","","","","","","","","","",""
