"order_id","customer","material_code","production_date","quantity","priority"
"PO-001","Beta Electronics","QR505","2026-05-21","137","medium"
"PO-002","Gamma Devices","M007","2026-05-22","174","low"
"PO-003","Nova Auto","M014","2026-05-23","211","high"
"PO-004","SkyTech","M021","2026-05-24","248","medium"
"PO-005","Delta Systems","M028","2026-05-25","285","low"
"PO-006","Orion Medical","M035","2026-05-26","322","high"
"PO-007","RetailOne","M042","2026-05-27","359","medium"
"PO-008","Vertex Robotics","M049","2026-05-28","396","low"
"PO-009","Evergreen Tech","GH101","2026-05-29","433","high"
"PO-010","Pacific Appliance","M003","2026-05-30","470","medium"
"PO-011","Metro Mobility","M010","2026-05-31","507","low"
"PO-012","SolarNext","M017","2026-06-01","544","high"
"PO-013","CloudEdge","M024","2026-06-02","581","medium"
"PO-014","Prime Display","M031","2026-06-03","618","low"
"PO-015","Urban Logistics","M038","2026-06-04","655","high"
"PO-016","NextHome","M045","2026-06-05","692","medium"
"PO-017","Rapid Health","M052","2026-06-06","729","low"
"PO-018","VisionPro","NP404","2026-06-07","766","high"
"PO-019","Apex Energy","M006","2026-06-08","803","medium"
"PO-020","Alpha Motors","M013","2026-06-09","840","low"
"PO-021","Beta Electronics","M020","2026-06-10","877","high"
"PO-022","Gamma Devices","M027","2026-06-11","914","medium"
"PO-023","Nova Auto","M034","2026-06-12","951","low"
"PO-024","SkyTech","M041","2026-06-13","988","high"
"PO-025","Delta Systems","M048","2026-06-14","1025","medium"
"PO-026","Orion Medical","EF789","2026-06-15","1062","low"
"PO-027","RetailOne","M002","2026-06-16","1099","high"
"PO-028","Vertex Robotics","M009","2026-06-17","1136","medium"
"PO-029","Evergreen Tech","M016","2026-06-18","1173","low"
"PO-030","Pacific Appliance","M023","2026-06-19","1210","high"
"PO-031","Metro Mobility","M030","2026-06-20","1247","medium"
"PO-032","SolarNext","M037","2026-06-21","1284","low"
"PO-033","CloudEdge","M044","2026-06-22","1321","high"
"PO-034","Prime Display","M051","2026-06-23","1358","medium"
"PO-035","Urban Logistics","LM303","2026-06-24","1395","low"
"PO-036","NextHome","M005","2026-06-25","1432","high"
"PO-037","Rapid Health","M012","2026-06-26","1469","medium"
"PO-038","VisionPro","M019","2026-06-27","106","low"
"PO-039","Apex Energy","M026","2026-06-28","143","high"
"PO-040","Alpha Motors","M033","2026-06-29","180","medium"
"PO-041","Beta Electronics","M040","2026-06-30","217","low"
"PO-042","Gamma Devices","M047","2026-07-01","254","high"
"PO-043","Nova Auto","CD456","2026-07-02","291","medium"
"PO-044","SkyTech","M001","2026-07-03","328","low"
"PO-045","Delta Systems","M008","2026-05-20","365","high"
"PO-046","Orion Medical","M015","2026-05-21","402","medium"
"PO-047","RetailOne","M022","2026-05-22","439","low"
"PO-048","Vertex Robotics","M029","2026-05-23","476","high"
"PO-049","Evergreen Tech","M036","2026-05-24","513","medium"
"PO-050","Pacific Appliance","M043","2026-05-25","550","low"
"PO-051","Metro Mobility","M050","2026-05-26","587","high"
"PO-052","SolarNext","JK202","2026-05-27","624","medium"
"PO-053","CloudEdge","M004","2026-05-28","661","low"
"PO-054","Prime Display","M011","2026-05-29","698","high"
"PO-055","Urban Logistics","M018","2026-05-30","735","medium"
"PO-056","NextHome","M025","2026-05-31","772","low"
"PO-057","Rapid Health","M032","2026-06-01","809","high"
"PO-058","VisionPro","M039","2026-06-02","846","medium"
"PO-059","Apex Energy","M046","2026-06-03","883","low"
"PO-060","Alpha Motors","AB123","2026-06-04","920","high"
"PO-061","Beta Electronics","QR505","2026-06-05","957","medium"
"PO-062","Gamma Devices","M007","2026-06-06","994","low"
"PO-063","Nova Auto","M014","2026-06-07","1031","high"
"PO-064","SkyTech","M021","2026-06-08","1068","medium"
"PO-065","Delta Systems","M028","2026-06-09","1105","low"
"PO-066","Orion Medical","M035","2026-06-10","1142","high"
"PO-067","RetailOne","M042","2026-06-11","1179","medium"
"PO-068","Vertex Robotics","M049","2026-06-12","1216","low"
"PO-069","Evergreen Tech","GH101","2026-06-13","1253","high"
"PO-070","Pacific Appliance","M003","2026-06-14","1290","medium"
"PO-071","Metro Mobility","M010","2026-06-15","1327","low"
"PO-072","SolarNext","M017","2026-06-16","1364","high"
"PO-073","CloudEdge","M024","2026-06-17","1401","medium"
"PO-074","Prime Display","M031","2026-06-18","1438","low"
"PO-075","Urban Logistics","M038","2026-06-19","1475","high"
"PO-076","NextHome","M045","2026-06-20","112","medium"
"PO-077","Rapid Health","M052","2026-06-21","149","low"
"PO-078","VisionPro","NP404","2026-06-22","186","high"
"PO-079","Apex Energy","M006","2026-06-23","223","medium"
"PO-080","Alpha Motors","M013","2026-06-24","260","low"
"PO-081","Beta Electronics","M020","2026-06-25","297","high"
"PO-082","Gamma Devices","M027","2026-06-26","334","medium"
"PO-083","Nova Auto","M034","2026-06-27","371","low"
"PO-084","SkyTech","M041","2026-06-28","408","high"
"PO-085","Delta Systems","M048","2026-06-29","445","medium"
"PO-086","Orion Medical","EF789","2026-06-30","482","low"
"PO-087","RetailOne","M002","2026-07-01","519","high"
"PO-088","Vertex Robotics","M009","2026-07-02","556","medium"
"PO-089","Evergreen Tech","M016","2026-07-03","593","low"
"PO-090","Pacific Appliance","M023","2026-05-20","630","high"
"PO-091","Metro Mobility","M030","2026-05-21","667","medium"
"PO-092","SolarNext","M037","2026-05-22","704","low"
"PO-093","CloudEdge","M044","2026-05-23","741","high"
"PO-094","Prime Display","M051","2026-05-24","778","medium"
"PO-095","Urban Logistics","LM303","2026-05-25","815","low"
"PO-096","NextHome","M005","2026-05-26","852","high"
"PO-097","Rapid Health","M012","2026-05-27","889","medium"
"PO-098","VisionPro","M019","2026-05-28","926","low"
"PO-099","Apex Energy","M026","2026-05-29","963","high"
"PO-100","Alpha Motors","M033","2026-05-30","1000","medium"
"PO-101","Beta Electronics","M040","2026-05-31","1037","low"
"PO-102","Gamma Devices","M047","2026-06-01","1074","high"
"PO-103","Nova Auto","CD456","2026-06-02","1111","medium"
"PO-104","SkyTech","M001","2026-06-03","1148","low"
"PO-105","Delta Systems","M008","2026-06-04","1185","high"
"PO-106","Orion Medical","M015","2026-06-05","1222","medium"
"PO-107","RetailOne","M022","2026-06-06","1259","low"
"PO-108","Vertex Robotics","M029","2026-06-07","1296","high"
"PO-109","Evergreen Tech","M036","2026-06-08","1333","medium"
"PO-110","Pacific Appliance","M043","2026-06-09","1370","low"
"PO-111","Metro Mobility","M050","2026-06-10","1407","high"
"PO-112","SolarNext","JK202","2026-06-11","1444","medium"
"PO-113","CloudEdge","M004","2026-06-12","1481","low"
"PO-114","Prime Display","M011","2026-06-13","118","high"
"PO-115","Urban Logistics","M018","2026-06-14","155","medium"
"PO-116","NextHome","M025","2026-06-15","192","low"
"PO-117","Rapid Health","M032","2026-06-16","229","high"
"PO-118","VisionPro","M039","2026-06-17","266","medium"
"PO-119","Apex Energy","M046","2026-06-18","303","low"
"PO-120","Alpha Motors","AB123","2026-06-19","340","high"
